date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:31	143208/143208	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-22f68%22	https://rsms.me/inter/font-files/Inter-Bold.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Bold3535.woff	(from https://rsms.me/inter/inter.css)
17:10:31	111808/111808	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b4c0%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-BoldItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:32	151052/151052	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24e0c%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-BoldItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:32	106108/106108	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19e7c%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraBold3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:32	142920/142920	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-22e48%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraBold3535.woff	(from https://rsms.me/inter/inter.css)
17:10:33	111708/111708	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b45c%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraBoldItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:33	102868/102868	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-191d4%22	https://rsms.me/inter/font-files/Inter-Black.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Black3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:33	138764/138764	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-21e0c%22	https://rsms.me/inter/font-files/Inter-Black.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-Black3535.woff	(from https://rsms.me/inter/inter.css)
17:10:33	150628/150628	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24c64%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-ExtraBoldItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:34	108752/108752	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1a8d0%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-BlackItalic3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:35	146824/146824	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-23d88%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-BlackItalic3535.woff	(from https://rsms.me/inter/inter.css)
17:10:35	227180/227180	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-3776c%22	https://rsms.me/inter/font-files/Inter-roman.var.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-roman.var3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:36	324864/324864	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-4f500%22	https://rsms.me/inter/font-files/Inter.var.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter.var3535.woff2	(from https://rsms.me/inter/inter.css)
17:10:36	245036/245036	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-3bd2c%22	https://rsms.me/inter/font-files/Inter-italic.var.woff2?v=3.19	C:/My%20Web%20Sites/Mentorship/rsms.me/inter/font-files/Inter-italic.var3535.woff2	(from https://rsms.me/inter/inter.css)
